fen,trait,en_passant,roque,cp
r1bq1rk1/1pp3bp/n2p1pp1/p1nPp1P1/2P1P3/2N1BN1P/PP2BP2/R2QK2R,1,1,0,45
R4nk1/6p1/P7/5Nb1/8/2p2p2/8/5K2,0,0,0,531
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R,0,1,0,11
rnbqkbnr/pp2pppp/8/3p4/3P4/2N5/PP2PPPP/R1BQKBNR,0,1,0,7
8/8/5pk1/6pp/3P4/1r4P1/2R2K1P/8,1,0,0,0
r1bq1rk1/pppnppbp/3p1npB/8/3PP3/5P2/PPPQ2PP/RN2KBNR,1,1,0,80
8/8/6p1/8/4N1P1/6k1/8/6K1,0,0,0,0
4k3/6p1/6N1/5K2/4N3/8/8/8,1,0,0,22
2r1r1k1/5p2/6R1/4NQp1/P7/1q5P/5PP1/4R1K1,0,0,0,15
1q2r2k/3n1Qbp/4p1p1/3bN3/1p4P1/1P5P/rB4BK/2RR4,1,0,0,-1038
3r4/1p4k1/p1bPR3/5p2/2B2P1p/8/PP4P1/4K3,1,0,0,267
7r/p1q1kp2/2p1pp2/2p2B2/8/8/PPPP3P/R1BQR1rK,1,0,0,-6
rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR,0,1,0,0
3r4/4Rbk1/3P4/pp3p2/5P1p/P2B4/1P3KP1/8,1,0,0,504
3r4/4R1k1/3P4/pp1b1p2/5P1p/P2B4/1P3KP1/8,0,0,0,329
3r4/1p3k2/p1bPR3/5p2/2B2P1p/8/PP4P1/4K3,0,0,0,132
7r/1p6/p1bP2k1/4Rp2/5P1p/8/PP4P1/3K1B2,1,0,0,109
3qrk2/p1r2pp1/1p2pb2/nP1bN2Q/3PN3/P6R/5PPP/R5K1,1,0,0,3
2kr1b1r/pp1npppp/2p1bn2/7q/5B2/2NB1Q1P/PPP1N1P1/2KR3R,1,0,0,2
r4n1k/pp2r3/2p1PN1p/3p1P2/8/8/PPPK4/6R1,1,0,0,1
r4n1k/pp2r1p1/2p1PN1R/3p1P2/8/8/PPPK4/6R1,0,0,0,1
rn1qkb1r/1b2pppp/p2p4/1p4P1/3N2Q1/4B3/PPP2P1P/R3KBR1,0,1,0,-56
8/8/2N2k2/8/1p6/p3p3/K7/8,1,0,0,0
2k5/1n3K2/1p2P3/pB6/P7/5r2/5p2/3R4,1,0,0,0
1R6/4qppk/6n1/b2p2Pp/2pP2b1/p1P5/P1B1rPPB/2Q2NK1,1,0,0,132
1R6/4qppk/6n1/b2pB1Pp/2pP2b1/p1P5/P1B1rPP1/2Q2NK1,0,0,0,189
rn2k2r/ppp2p1p/4bp2/8/2p1PP2/2N5/PP4PP/R3KB1R,0,1,0,30
rn2k2r/pp3p1p/2p1bp2/8/2p1PP2/2N5/PP4PP/R3KB1R,1,1,0,36
5k2/6pp/2B2P2/PPR3r1/3P4/7P/6P1/1b4K1,0,0,0,1074
6k1/3q1pp1/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/1R3NK1,1,0,0,-85
r1b1k2r/pp1n1p1p/2p2p2/5P2/2B1P3/2N5/PP4PP/R3K2R,1,1,0,44
rnbqkb1r/ppp1pppp/5n2/8/2pPP3/2N5/PP3PPP/R1BQKBNR,0,1,0,-18
rn1qkb1r/pbpppp1p/1p3np1/8/3P4/5NP1/PPP1PPBP/RNBQ1RK1,0,1,0,28
rn1qk2r/pbppppbp/1p3np1/8/3P4/5NP1/PPP1PPBP/RNBQ1RK1,1,1,0,49
rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R,1,1,0,19
